A,B,Parallel_Corridor
2815,2816,EastBay_InnerBBApproach80580880_PM
2816,2804,EastBay_InnerBBApproach80580880_PM
2816,2815,EastBay_InnerBBApproach80580880_AM
2817,2809,EastBay_InnerBBApproach80580880_PM
2818,2819,EastBay_InnerBBApproach80580880_AM
2818,3216,EastBay_InnerBBApproach80580880_PM
2819,2820,EastBay_InnerBBApproach80580880_AM
2820,2845,EastBay_InnerBBApproach80580880_AM
2824,2815,EastBay_InnerBBApproach80580880_PM
2825,2817,EastBay_InnerBBApproach80580880_PM
2825,2879,EastBay_InnerBBApproach80580880_AM
2829,2833,EastBay_68024980_PM
2830,2835,EastBay_68024980_AM
2831,2830,EastBay_68024980_AM
2832,2831,EastBay_InnerBBApproach80580880_AM
2833,2834,EastBay_InnerBBApproach80580880_PM
2834,2812,EastBay_InnerBBApproach80580880_PM
2835,2856,EastBay_InnerBBApproach80580880_AM
2836,2829,EastBay_68024980_PM
2837,2741,EastBay_68024980_AM
2837,2853,EastBay_68024980_PM
2839,2849,EastBay_68024980_PM
2839,2851,EastBay_68024980_AM
2841,2853,EastBay_68024980_AM
2841,2861,EastBay_68024980_PM
2844,2884,EastBay_InnerBBApproach80580880_PM
2845,2846,EastBay_InnerBBApproach80580880_AM
2846,2849,EastBay_68024980_AM
2847,2844,EastBay_68024980_PM
2848,2847,EastBay_68024980_PM
2849,2839,EastBay_68024980_AM
2853,2837,EastBay_68024980_AM
2853,2841,EastBay_68024980_PM
2855,2836,EastBay_InnerBBApproach80580880_PM
2861,2841,EastBay_68024980_AM
2861,2886,EastBay_68024980_PM
2862,2721,EastBay_68024980_PM
2862,2886,EastBay_68024980_AM
2863,2742,EastBay_68024980_PM
2863,2864,EastBay_68024980_AM
2863,2880,EastBay_68024980_AM
2864,2863,EastBay_68024980_PM
2864,2878,EastBay_68024980_AM
2866,2725,EastBay_68024980_PM
2866,2867,EastBay_68024980_AM
2867,2866,EastBay_68024980_PM
2867,2877,EastBay_68024980_AM
2868,2877,EastBay_68024980_AM
2868,2917,EastBay_68024980_PM
2877,2867,EastBay_68024980_PM
2877,2868,EastBay_68024980_PM
2878,2864,EastBay_68024980_PM
2879,2825,EastBay_InnerBBApproach80580880_PM
2879,2891,EastBay_InnerBBApproach80580880_AM
2880,2863,EastBay_68024980_PM
2883,2818,EastBay_InnerBBApproach80580880_PM
2884,2883,EastBay_InnerBBApproach80580880_PM
2886,2861,EastBay_68024980_AM
2886,2862,EastBay_68024980_PM
2891,2879,EastBay_InnerBBApproach80580880_PM
2901,2966,EastBay_Inner580_PM
2901,12171,EastBay_Inner580_AM
2909,2910,EastBay_Inner580_AM
2909,12171,EastBay_Inner580_PM
2910,2909,EastBay_Inner580_PM
2910,2913,EastBay_Inner580_AM
2913,2910,EastBay_Inner580_PM
2913,2914,EastBay_Inner580_AM
2914,2687,EastBay_Inner580_AM
2914,2913,EastBay_Inner580_PM
2914,2915,EastBay_68024980_AM
2914,2923,EastBay_68024980_PM
2915,2914,EastBay_68024980_PM
2915,2916,EastBay_68024980_AM
2916,2915,EastBay_68024980_PM
2916,2917,EastBay_68024980_AM
2917,2868,EastBay_68024980_AM
2917,2916,EastBay_68024980_PM
2923,2689,EastBay_InnerBBApproach80580880_AM
2923,2914,EastBay_68024980_AM
2923,12172,EastBay_Inner580_PM
2923,12173,EastBay_68024980_PM
2925,2988,EastBay_68024980_PM
2925,12173,EastBay_68024980_AM
2928,3811,EastBay_880680_AM
2928,3924,EastBay_880680_PM
2937,4119,Periphery_580_PM
2937,4121,Periphery_580_AM
2938,2940,EastBay_Inner580_AM
2938,3167,EastBay_Inner580_PM
2940,2938,EastBay_Inner580_PM
2940,2965,EastBay_Inner580_AM
2946,2943,EastBay_InnerBBApproach80580880_AM
2956,2960,EastBay_Inner580_AM
2957,3149,EastBay_Inner580_PM
2960,2956,EastBay_Inner580_PM
2960,2961,EastBay_Inner580_AM
2965,2940,EastBay_Inner580_PM
2965,2966,EastBay_Inner580_AM
2966,2901,EastBay_Inner580_AM
2966,2965,EastBay_Inner580_PM
2972,4085,Periphery_580_PM
2972,8324,Periphery_580_AM
2973,4091,Periphery_580_AM
2981,3990,Periphery_580_PM
2981,3991,Periphery_580_AM
2988,2462,EastBay_68024980_PM
2988,2925,EastBay_68024980_AM
3032,3101,EastBay_InnerBBApproach80580880_PM
3032,12091,EastBay_InnerBBApproach80580880_AM
3040,3041,EastBay_InnerBBApproach80580880_PM
3040,3098,EastBay_InnerBBApproach80580880_AM
3041,3040,EastBay_InnerBBApproach80580880_AM
3041,3467,EastBay_880680_AM
3070,3683,EastBay_880680_PM
3070,3684,EastBay_880680_AM
3073,3097,EastBay_Inner580_AM
3073,12177,EastBay_Inner580_PM
3074,3077,EastBay_Inner580_PM
3074,3095,EastBay_Inner580_AM
3074,12089,EastBay_Inner580_AM
3076,3470,EastBay_Inner580_PM
3076,12177,EastBay_Inner580_AM
3077,3074,EastBay_Inner580_AM
3077,3348,EastBay_Inner580_PM
3088,3694,EastBay_880680_PM
3088,3722,EastBay_880680_AM
3091,3092,EastBay_Inner580_AM
3091,12089,EastBay_Inner580_PM
3092,3091,EastBay_Inner580_PM
3092,3466,EastBay_Inner580_AM
3093,3465,EastBay_Inner580_AM
3093,12088,EastBay_Inner580_PM
3094,3096,EastBay_Inner580_PM
3094,3727,EastBay_Inner580_AM
3095,3074,EastBay_Inner580_PM
3095,12088,EastBay_Inner580_AM
3096,3094,EastBay_Inner580_AM
3096,3097,EastBay_Inner580_PM
3097,3073,EastBay_Inner580_PM
3097,3096,EastBay_Inner580_AM
3098,3040,EastBay_InnerBBApproach80580880_PM
3098,12086,EastBay_InnerBBApproach80580880_AM
3099,3100,EastBay_InnerBBApproach80580880_AM
3099,12086,EastBay_InnerBBApproach80580880_PM
3100,3099,EastBay_InnerBBApproach80580880_PM
3100,3101,EastBay_InnerBBApproach80580880_AM
3101,3032,EastBay_InnerBBApproach80580880_AM
3101,3100,EastBay_InnerBBApproach80580880_PM
3106,3111,EastBay_InnerBBApproach80580880_PM
3106,3161,EastBay_InnerBBApproach80580880_AM
3107,3110,EastBay_InnerBBApproach80580880_PM
3108,3109,EastBay_InnerBBApproach80580880_PM
3108,3197,EastBay_InnerBBApproach80580880_AM
3109,3108,EastBay_InnerBBApproach80580880_AM
3109,12091,EastBay_InnerBBApproach80580880_PM
3110,3107,EastBay_InnerBBApproach80580880_AM
3110,12092,EastBay_InnerBBApproach80580880_PM
3111,3106,EastBay_InnerBBApproach80580880_AM
3111,3465,EastBay_Inner580_PM
3113,3114,EastBay_880680_AM
3113,3125,EastBay_880680_PM
3114,3113,EastBay_880680_PM
3114,3729,EastBay_880680_AM
3115,3119,EastBay_Inner580_AM
3115,3466,EastBay_Inner580_PM
3119,3115,EastBay_Inner580_PM
3119,3123,EastBay_Inner580_AM
3122,3151,EastBay_Inner580_AM
3122,3463,EastBay_Inner580_PM
3123,3119,EastBay_Inner580_PM
3123,3463,EastBay_Inner580_AM
3125,3113,EastBay_880680_AM
3139,3716,EastBay_880680_PM
3139,3728,EastBay_880680_AM
3149,2957,EastBay_Inner580_AM
3149,3150,EastBay_Inner580_PM
3150,3149,EastBay_Inner580_AM
3150,3458,EastBay_Inner580_PM
3151,3122,EastBay_Inner580_PM
3151,3458,EastBay_Inner580_AM
3156,3157,EastBay_InnerBBApproach80580880_AM
3156,3158,EastBay_InnerBBApproach80580880_PM
3157,3156,EastBay_InnerBBApproach80580880_PM
3157,12107,EastBay_InnerBBApproach80580880_AM
3158,3156,EastBay_InnerBBApproach80580880_AM
3158,3159,EastBay_InnerBBApproach80580880_PM
3159,3158,EastBay_InnerBBApproach80580880_AM
