"TAZ","TOTHH","TOTPOP","hh_size_1","hh_size_2","hh_size_3","hh_size_4_plus","hh_wrks_0","hh_wrks_1","hh_wrks_2","hh_wrks_3_plus","hh_kids_no","hh_kids_yes","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","gq_tot_pop","gq_type_univ","gq_type_mil","gq_type_othnon"
1040,682,1699,236,160,148,138,87,324,216,55,489,193,244,200,148,90,143,188,929,321,118,2,0,0,2
1041,843,1971,267,300,138,138,139,380,238,86,644,199,158,286,237,162,71,253,798,577,272,1,0,0,1
1042,749,1735,225,291,114,119,196,281,246,26,551,198,144,166,162,277,133,226,469,505,402,11,6,0,5
1043,1119,2697,227,536,160,196,233,368,471,47,829,290,196,218,206,499,134,380,619,829,735,0,0,0,0
1044,1086,2580,302,484,94,206,230,423,373,60,814,272,192,133,213,548,72,438,641,828,601,0,0,0,0
1045,1126,2955,162,477,238,249,280,259,536,51,772,354,119,231,232,544,146,436,627,918,828,0,0,0,0
1046,902,2420,167,322,208,205,147,321,363,71,622,280,112,160,237,393,118,404,549,813,536,2,0,0,2
1047,1085,2952,248,343,265,229,185,462,383,55,680,405,333,277,263,212,184,581,967,745,475,14,0,0,14
1048,1103,2720,279,425,216,183,162,512,397,32,822,281,225,322,284,272,209,306,1119,750,336,11,0,0,11
1049,1979,4658,605,768,232,374,319,917,681,62,1530,449,463,714,453,349,303,446,1723,1458,728,4,0,0,4
1050,2685,7672,778,661,682,564,621,1228,463,373,1735,950,1527,685,388,85,790,1435,2904,1675,868,34,0,0,34
