TAZ1454,hispanic,white_nonh,black_nonh,asian_nonh,other_nonh,TOTPOP,COUNTY,County_Name
407,2,4,0,48,64,96,3,Santa Clara
408,1,2,0,21,22,35,3,Santa Clara
409,0,0,0,0,0,0,3,Santa Clara
410,232,907,41,4711,3212,10152,3,Santa Clara
411,0,0,0,0,0,0,3,Santa Clara
412,2588,1990,458,6980,6556,19859,3,Santa Clara
413,711,1007,102,3904,2978,9790,3,Santa Clara
414,767,589,100,1121,1630,3425,3,Santa Clara
415,252,305,58,795,1057,2399,3,Santa Clara
416,558,692,46,3096,3293,7504,3,Santa Clara
417,0,0,0,0,0,0,3,Santa Clara
418,195,288,1,400,722,1494,3,Santa Clara
419,511,391,3,800,1153,2902,3,Santa Clara
420,486,394,0,714,1074,2489,3,Santa Clara
421,1178,1494,122,1645,3139,7296,3,Santa Clara
422,879,1177,86,2712,2572,7866,3,Santa Clara
423,943,404,22,1184,1567,4440,3,Santa Clara
424,2123,713,12,1367,1852,7035,3,Santa Clara
425,974,296,53,792,1102,3437,3,Santa Clara
426,481,464,23,1643,2053,4482,3,Santa Clara
427,191,285,9,2007,2167,4192,3,Santa Clara
428,101,172,3,927,943,2021,3,Santa Clara
429,0,0,0,0,0,0,3,Santa Clara
430,417,268,0,569,684,2112,3,Santa Clara
431,9,7,0,11,15,38,3,Santa Clara
432,133,84,0,163,237,649,3,Santa Clara
433,903,874,53,1575,2115,5557,3,Santa Clara
434,0,32,0,0,25,48,3,Santa Clara
435,949,421,71,992,1083,4003,3,Santa Clara
436,726,1157,183,741,2026,4849,3,Santa Clara
437,1011,884,157,1616,2041,6129,3,Santa Clara
438,311,1017,41,1547,2643,5020,3,Santa Clara
439,375,460,14,916,1372,3106,3,Santa Clara
440,682,958,49,3013,3410,8426,3,Santa Clara
441,415,873,109,2651,2361,6610,3,Santa Clara
442,343,593,2,1125,1626,3413,3,Santa Clara
443,745,608,31,1981,2130,5375,3,Santa Clara
444,193,1263,0,1978,2985,5772,3,Santa Clara
445,1224,1113,51,3019,3644,9636,3,Santa Clara
446,623,1182,95,3190,3774,8870,3,Santa Clara
447,447,870,54,1294,1915,4947,3,Santa Clara
448,970,771,25,2853,2120,7973,3,Santa Clara
449,180,800,65,2608,2332,6277,3,Santa Clara
450,252,1495,186,1492,3074,6042,3,Santa Clara
451,192,1734,57,1647,3127,6482,3,Santa Clara
452,196,988,5,661,1425,3165,3,Santa Clara
453,507,1617,76,2462,4057,8177,3,Santa Clara
454,96,1214,33,1352,2276,4371,3,Santa Clara
455,94,560,0,940,1429,2690,3,Santa Clara
456,867,1189,177,2714,2611,8521,3,Santa Clara
457,101,1347,23,1780,2757,5583,3,Santa Clara
458,324,635,42,1917,2137,5329,3,Santa Clara
459,275,1435,23,2949,4348,8677,3,Santa Clara
460,70,529,48,1516,1854,3843,3,Santa Clara
461,529,1050,35,1154,2232,4719,3,Santa Clara
462,211,759,40,1881,2683,5509,3,Santa Clara
463,361,901,35,1217,2205,4665,3,Santa Clara
464,657,1078,18,1237,2046,5087,3,Santa Clara
465,785,2167,65,1750,3481,7841,3,Santa Clara
466,651,1180,10,401,1528,3705,3,Santa Clara
467,765,1131,191,684,1689,4708,3,Santa Clara
468,975,1275,48,722,1952,5206,3,Santa Clara
469,1825,1053,299,708,1448,6128,3,Santa Clara
470,636,1566,214,1443,2890,6439,3,Santa Clara
471,518,1194,38,1096,1812,5054,3,Santa Clara
472,1337,756,109,1464,1620,6090,3,Santa Clara
473,1000,947,254,933,1839,5552,3,Santa Clara
474,611,877,185,873,1823,4348,3,Santa Clara
475,617,856,9,711,1600,3572,3,Santa Clara
476,255,1383,128,2925,4546,8217,3,Santa Clara
477,363,755,108,2301,2959,6078,3,Santa Clara
478,880,463,58,2672,1368,7101,3,Santa Clara
479,378,1114,0,3571,3944,8504,3,Santa Clara
480,75,283,44,1313,1657,3122,3,Santa Clara
481,50,487,0,2649,2766,5343,3,Santa Clara
482,92,428,0,2298,2385,4676,3,Santa Clara
483,235,600,94,2335,3486,5884,3,Santa Clara
484,246,1113,14,3268,3813,8136,3,Santa Clara
485,269,1131,0,2623,3630,7127,3,Santa Clara
486,56,424,51,2955,2364,6001,3,Santa Clara
487,266,903,31,1916,2334,5071,3,Santa Clara
488,232,1258,12,2859,3380,7198,3,Santa Clara
489,53,663,0,3299,3537,6876,3,Santa Clara
490,110,481,0,1693,2020,3884,3,Santa Clara
491,27,298,1,1550,1591,3316,3,Santa Clara
492,137,422,0,2931,2803,6145,3,Santa Clara
493,29,949,19,2543,3193,5906,3,Santa Clara
494,127,977,0,2485,3241,6062,3,Santa Clara
495,86,1133,0,2391,3204,6429,3,Santa Clara
496,55,823,4,619,1500,2532,3,Santa Clara
497,34,1658,0,2195,3204,6735,3,Santa Clara
498,232,914,5,1266,2006,4038,3,Santa Clara
499,474,1447,12,2152,3487,7260,3,Santa Clara
500,221,1171,20,1387,2257,4771,3,Santa Clara
501,315,947,7,1077,2153,4567,3,Santa Clara
502,783,1027,37,1030,2005,4949,3,Santa Clara
503,1263,1491,36,874,2087,6447,3,Santa Clara
504,905,1717,95,242,1850,5275,3,Santa Clara
505,692,1441,97,1154,2303,5638,3,Santa Clara
506,259,1160,47,602,1844,3753,3,Santa Clara
507,332,1751,12,709,2152,4784,3,Santa Clara
508,389,884,15,495,1289,3203,3,Santa Clara
509,123,1413,0,162,1201,2871,3,Santa Clara
510,137,1091,14,303,1371,2593,3,Santa Clara
511,301,2810,113,831,3366,6780,3,Santa Clara
512,252,1970,0,128,2291,4294,3,Santa Clara
513,115,1575,5,363,1773,3421,3,Santa Clara
514,312,3574,34,763,4339,8378,3,Santa Clara
515,564,1936,33,1430,3454,7353,3,Santa Clara
516,229,1672,11,551,2232,4583,3,Santa Clara
517,414,1609,4,1280,2803,6111,3,Santa Clara
518,420,2337,8,1105,3144,6305,3,Santa Clara
519,599,1940,209,2152,4051,8555,3,Santa Clara
520,630,1080,17,732,1808,4447,3,Santa Clara
521,955,1356,73,932,2322,5653,3,Santa Clara
522,1040,1841,121,652,2573,6057,3,Santa Clara
523,737,3437,14,1141,4693,9156,3,Santa Clara
524,465,1731,11,787,2699,5601,3,Santa Clara
525,379,1773,0,428,2271,4491,3,Santa Clara
526,1034,2207,91,638,2895,7087,3,Santa Clara
527,837,2768,28,448,3048,7171,3,Santa Clara
528,1370,1793,91,476,2238,6497,3,Santa Clara
529,625,1005,37,296,1352,3660,3,Santa Clara
530,720,2258,188,733,2854,6875,3,Santa Clara
531,432,981,70,289,1301,3099,3,Santa Clara
532,1780,1285,204,897,1494,7060,3,Santa Clara
533,1868,1004,249,928,1818,6607,3,Santa Clara
534,735,1466,91,883,2395,4926,3,Santa Clara
535,1441,879,55,420,1591,4659,3,Santa Clara
536,1979,663,57,356,1067,4671,3,Santa Clara
537,1310,1170,295,1260,2190,6711,3,Santa Clara
538,522,821,147,276,1254,3404,3,Santa Clara
539,285,199,95,167,495,1333,3,Santa Clara
540,1530,941,136,834,1691,5472,3,Santa Clara
