"ZONE","DISTRICT","SD","COUNTY","TOTHH","HHPOP","TOTPOP","EMPRES","SFDU","MFDU","HHINCQ1","HHINCQ2","HHINCQ3","HHINCQ4","TOTACRE","RESACRE","CIACRE","SHPOP62P","TOTEMP","AGE0004","AGE0519","AGE2044","AGE4564","AGE65P","RETEMPN","FPSEMPN","HEREMPN","AGREMPN","MWTEMPN","OTHEMPN","PRKCST","OPRKCST","AREATYPE","HSENROLL","COLLFTE","COLLPTE","TERMINAL","TOPOLOGY","ZERO","hhlds","gqpop"
102,3,3,1,2713,5394,5524,3847,261,2699,474,369,493,1377,81,45.23017,3,0.132013800617396,1615,221,391,2980,1315,617,222,171,922,0,224,76,0,105.25612,2,0,0,0,3.91153,1,0,2713,129
103,3,3,1,2729,5162,5194,3872,616,2324,589,387,500,1253,137,67,8,0.169563538045577,982,171,300,2547,1491,685,122,251,558,0,28,23,0,61,2,1058,0,0,2.62186,1,0,2729,32
104,3,3,1,1901,3612,3635,2825,151,2270,272,175,397,1057,68,24.79696,13,0.128311258278146,1787,132,171,2063,877,392,340,414,967,0,5,61,0,71.81642,2,0,0,0,4.5693,1,0,1901,23
105,3,3,1,3229,6262,6382,4484,501,3087,978,355,679,1217,80,34,10,0.168159673110168,1919,195,455,3323,1499,910,151,182,1421,1,58,106,48,68,1,0,0,0,4.26819,1,0,3229,120
106,3,3,1,3224,6213,6943,4385,232,3537,1033,659,546,986,110,22.22288,38,0.148367523837041,4700,179,539,3549,1859,817,498,1134,2567,0,97,404,48,68,1,0,0,0,4.21579,2,0,3224,730
107,3,3,1,893,2114,2850,1495,92,884,149,147,236,361,223,10,106,0.106652587117212,57291,80,219,1596,708,247,1557,2446,26163,0,15406,11719,52.35999,74.17666,1,0,197,0,4.17095,2,0,893,735
108,3,3,1,1260,2523,2743,838,44,914,492,175,90,503,113.7,7,103,0.0906764168190128,5299,105,327,1626,494,191,235,1172,2853,0,561,478,0,0,2,0,942,125,3.00463,3,0,1260,221
109,3,3,1,3527,6915,7272,4771,34,3237,562,574,655,1736,142.8,23.63865,135,0.100413793103448,7771,266,410,4764,1196,636,140,3301,1236,0,449,2645,83.56469,167.12937,2,0,0,0,3.47472,3,0,3527,357
110,3,3,1,2998,6598,7470,4717,37,3099,549,251,790,1408,263.89999,10.83159,33.84755,0.0504901302537935,9581,529,611,5200,849,281,259,4564,3019,0,1621,118,0,0,3,0,0,0,5.20029,3,0,2998,872
111,3,3,1,2383,4439,5016,2953,115,2064,214,210,441,1518,327,11.75597,211,0.0395920815836833,8109,190,190,3788,695,153,506,2069,2855,0,1093,1586,0,0,3,0,0,0,1.82649,2,0,2383,577
112,3,3,1,1035,2193,2201,1748,241,845,163,114,158,600,67,28,10,0.143573381950775,964,90,179,1188,488,256,47,301,266,0,261,89,0,0,3,0,209,38,2.98552,1,0,1035,8
113,3,3,1,2484,5815,5837,3392,880,2042,540,367,451,1126,186,82,27,0.122529644268775,1019,284,768,2906,1310,569,19,184,446,0,137,233,0,0,3,0,0,0,2.21976,1,0,2484,22
114,3,3,1,1753,3745,3807,2521,688,1193,201,201,288,1063,146,48.58375,20,0.146996838777661,1264,226,308,1890,943,440,328,281,419,0,111,125,0,0,3,167,0,0,2.43305,1,0,1753,62
115,3,3,1,675,1708,1840,1352,191,619,120,191,111,253,74,17,26,0.180479825517993,657,72,152,872,511,233,13,212,416,0,15,1,0,0,1,0,0,0,2.67244,1,0,675,131
116,3,3,1,1875,4784,4971,3236,394,1570,405,221,413,836,143,36,49,0.12227602905569,8367,195,586,2473,1211,506,1028,3569,2258,0,530,982,0,0,1,327,0,0,3.74682,2,0,1875,187
117,3,3,1,1588,4341,4369,3142,429,1162,237,203,467,681,70,35,9,0.126721763085399,911,192,507,2283,941,446,21,361,468,0,34,27,0,0,1,302,0,0,3.38373,3,0,1588,28
